Scanning file: tests/add_kernel.py
================= SEQUENCE OF TOKENS =================
 LINE   ID   TOKEN        LEXEME                  SYMTAB
 -----  ---  -----------  ----------------------  ------
 1      1    KEYWORD      import                  -
 1      2    NAMESPACE    triton                  -
 2      1    KEYWORD      import                  -
 2      2    NAMESPACE    triton                  -
 2      35   DOT          .                       -
 2      4    IDENTIFIER   language                #0
 2      1    KEYWORD      as                      -
 2      2    NAMESPACE    tl                      -
 5      8    AT           @                       -
 5      2    NAMESPACE    triton                  -
 5      35   DOT          .                       -
 5      4    IDENTIFIER   jit                     #1
 6      1    KEYWORD      def                     -
 6      4    IDENTIFIER   add_kernel              #2
 6      27   LPAREN       (                       -
 6      4    IDENTIFIER   x_ptr                   #3
 6      33   COMMA        ,                       -
 6      4    IDENTIFIER   y_ptr                   #4
 6      33   COMMA        ,                       -
 6      4    IDENTIFIER   output_ptr              #5
 6      33   COMMA        ,                       -
 6      4    IDENTIFIER   n_elements              #6
 6      33   COMMA        ,                       -
 6      4    IDENTIFIER   BLOCK_SIZE              #7
 6      34   COLON        :                       -
 6      2    NAMESPACE    tl                      -
 6      35   DOT          .                       -
 6      3    TYPE         constexpr               -
 6      28   RPAREN       )                       -
 6      34   COLON        :                       -
 7      4    IDENTIFIER   pid                     #8
 7      9    ASSIGN       =                       -
 7      2    NAMESPACE    tl                      -
 7      35   DOT          .                       -
 7      4    IDENTIFIER   program_id              #9
 7      27   LPAREN       (                       -
 7      4    IDENTIFIER   axis                    #10
 7      9    ASSIGN       =                       -
 7      5    INT_LIT      0                       -
 7      28   RPAREN       )                       -
 8      4    IDENTIFIER   block_start             #11
 8      9    ASSIGN       =                       -
 8      4    IDENTIFIER   pid                     #8
 8      12   STAR         *                       -
 8      4    IDENTIFIER   BLOCK_SIZE              #7
 9      4    IDENTIFIER   offsets                 #12
 9      9    ASSIGN       =                       -
 9      4    IDENTIFIER   block_start             #11
 9      10   PLUS         +                       -
 9      2    NAMESPACE    tl                      -
 9      35   DOT          .                       -
 9      4    IDENTIFIER   arange                  #13
 9      27   LPAREN       (                       -
 9      5    INT_LIT      0                       -
 9      33   COMMA        ,                       -
 9      4    IDENTIFIER   BLOCK_SIZE              #7
 9      28   RPAREN       )                       -
 10     4    IDENTIFIER   mask                    #14
 10     9    ASSIGN       =                       -
 10     4    IDENTIFIER   offsets                 #12
 10     19   LT           <                       -
 10     4    IDENTIFIER   n_elements              #6
 11     4    IDENTIFIER   x                       #15
 11     9    ASSIGN       =                       -
 11     2    NAMESPACE    tl                      -
 11     35   DOT          .                       -
 11     4    IDENTIFIER   load                    #16
 11     27   LPAREN       (                       -
 11     4    IDENTIFIER   x_ptr                   #3
 11     10   PLUS         +                       -
 11     4    IDENTIFIER   offsets                 #12
 11     33   COMMA        ,                       -
 11     4    IDENTIFIER   mask                    #14
 11     9    ASSIGN       =                       -
 11     4    IDENTIFIER   mask                    #14
 11     28   RPAREN       )                       -
 12     4    IDENTIFIER   y                       #17
 12     9    ASSIGN       =                       -
 12     2    NAMESPACE    tl                      -
 12     35   DOT          .                       -
 12     4    IDENTIFIER   load                    #16
 12     27   LPAREN       (                       -
 12     4    IDENTIFIER   y_ptr                   #4
 12     10   PLUS         +                       -
 12     4    IDENTIFIER   offsets                 #12
 12     33   COMMA        ,                       -
 12     4    IDENTIFIER   mask                    #14
 12     9    ASSIGN       =                       -
 12     4    IDENTIFIER   mask                    #14
 12     28   RPAREN       )                       -
 13     4    IDENTIFIER   output                  #18
 13     9    ASSIGN       =                       -
 13     4    IDENTIFIER   x                       #15
 13     10   PLUS         +                       -
 13     4    IDENTIFIER   y                       #17
 14     2    NAMESPACE    tl                      -
 14     35   DOT          .                       -
 14     4    IDENTIFIER   store                   #19
 14     27   LPAREN       (                       -
 14     4    IDENTIFIER   output_ptr              #5
 14     10   PLUS         +                       -
 14     4    IDENTIFIER   offsets                 #12
 14     33   COMMA        ,                       -
 14     4    IDENTIFIER   output                  #18
 14     33   COMMA        ,                       -
 14     4    IDENTIFIER   mask                    #14
 14     9    ASSIGN       =                       -
 14     4    IDENTIFIER   mask                    #14
 14     28   RPAREN       )                       -

=================== SYMBOL TABLE ===================
 IDX   NAME                      TOKEN        1ST-LINE   COUNT
 ----  ------------------------  -----------  ---------  -----
 0     language                  IDENTIFIER   2          1
 1     jit                       IDENTIFIER   5          1
 2     add_kernel                IDENTIFIER   6          1
 3     x_ptr                     IDENTIFIER   6          2
 4     y_ptr                     IDENTIFIER   6          2
 5     output_ptr                IDENTIFIER   6          2
 6     n_elements                IDENTIFIER   6          2
 7     BLOCK_SIZE                IDENTIFIER   6          3
 8     pid                       IDENTIFIER   7          2
 9     program_id                IDENTIFIER   7          1
 10    axis                      IDENTIFIER   7          1
 11    block_start               IDENTIFIER   8          2
 12    offsets                   IDENTIFIER   9          5
 13    arange                    IDENTIFIER   9          1
 14    mask                      IDENTIFIER   10         7
 15    x                         IDENTIFIER   11         2
 16    load                      IDENTIFIER   11         2
 17    y                         IDENTIFIER   12         2
 18    output                    IDENTIFIER   13         2
 19    store                     IDENTIFIER   14         1
====================================================
Distinct identifiers: 20

TOTAL tokens: 109   |   Lexical errors: 0
