Scanning file: tests/softmax_kernel.py
================= SEQUENCE OF TOKENS =================
 LINE   ID   TOKEN        LEXEME                  SYMTAB
 -----  ---  -----------  ----------------------  ------
 1      1    KEYWORD      import                  -
 1      2    NAMESPACE    triton                  -
 2      1    KEYWORD      import                  -
 2      2    NAMESPACE    triton                  -
 2      35   DOT          .                       -
 2      4    IDENTIFIER   language                #0
 2      1    KEYWORD      as                      -
 2      2    NAMESPACE    tl                      -
 5      8    AT           @                       -
 5      2    NAMESPACE    triton                  -
 5      35   DOT          .                       -
 5      4    IDENTIFIER   jit                     #1
 6      1    KEYWORD      def                     -
 6      4    IDENTIFIER   softmax_kernel          #2
 6      27   LPAREN       (                       -
 6      4    IDENTIFIER   out_ptr                 #3
 6      33   COMMA        ,                       -
 6      4    IDENTIFIER   in_ptr                  #4
 6      33   COMMA        ,                       -
 6      4    IDENTIFIER   row_stride              #5
 6      33   COMMA        ,                       -
 6      4    IDENTIFIER   n_cols                  #6
 6      33   COMMA        ,                       -
 6      4    IDENTIFIER   BLOCK_SIZE              #7
 6      34   COLON        :                       -
 6      2    NAMESPACE    tl                      -
 6      35   DOT          .                       -
 6      3    TYPE         constexpr               -
 6      28   RPAREN       )                       -
 6      34   COLON        :                       -
 8      4    IDENTIFIER   row                     #8
 8      9    ASSIGN       =                       -
 8      2    NAMESPACE    tl                      -
 8      35   DOT          .                       -
 8      4    IDENTIFIER   program_id              #9
 8      27   LPAREN       (                       -
 8      5    INT_LIT      0                       -
 8      28   RPAREN       )                       -
 9      4    IDENTIFIER   row_start               #10
 9      9    ASSIGN       =                       -
 9      4    IDENTIFIER   in_ptr                  #4
 9      10   PLUS         +                       -
 9      4    IDENTIFIER   row                     #8
 9      12   STAR         *                       -
 9      4    IDENTIFIER   row_stride              #5
 10     4    IDENTIFIER   cols                    #11
 10     9    ASSIGN       =                       -
 10     2    NAMESPACE    tl                      -
 10     35   DOT          .                       -
 10     4    IDENTIFIER   arange                  #12
 10     27   LPAREN       (                       -
 10     5    INT_LIT      0                       -
 10     33   COMMA        ,                       -
 10     4    IDENTIFIER   BLOCK_SIZE              #7
 10     28   RPAREN       )                       -
 11     4    IDENTIFIER   mask                    #13
 11     9    ASSIGN       =                       -
 11     4    IDENTIFIER   cols                    #11
 11     19   LT           <                       -
 11     4    IDENTIFIER   n_cols                  #6
